"","X","id","source","pmid","pmcid","doi","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate"
"466",466,32649560,"MED",32649560,"PMC7382406","10.1097/scs.0000000000006753","Guidelines and Recommendations for Patient Management, Surgical Activities, and Safety in the Maxillofacial Unit and Head and Neck Department During COVID-19 Pandemic.","Piombino P, Sani L, Committeri U, Carraturo E, Foderini A, Romano A, Orabona GD, Bonavolontà P, Abbate V, Califano L.","J Craniofac Surg","6","31",2020,"1049-2275; 1536-3732; ","e630-e633","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-07-15","2020-09-01"
"307",307,32985322,"MED",32985322,"PMC7527908","10.1177/2380084420962778","Characteristics of US Adults Delaying Dental Care Due to the COVID-19 Pandemic.","Kranz AM, Gahlon G, Dick AW, Stein BD.","JDR Clin Trans Res","1","6",2021,"2380-0844; 2380-0852; ","8-14","research-article; journal article; research support, n.i.h., extramural","Y","Y","N","Y","N","Y",10,"Y","Y","N","Y","N","2020-09-29","2020-09-27"
"456",456,32710060,"MED",32710060,"PMC7380157","10.1038/s41415-020-1924-9","Relevance of oral cavity in COVID.","Wadia R.","Br Dent J","2","229",2020,"0007-0610; 1476-5373; ","125","brief-report; journal article","Y","Y","N","Y","N","N",0,"N","Y","N","Y","N","2020-07-26","2020-07-01"
"146",146,33015929,"MED",33015929,"PMC7675464","10.1111/eje.12608","Dental education in the time of SARS-CoV-2.","Sukumar S, Dracopoulos SA, Martin FE.","Eur J Dent Educ","2","25",2021,"1396-5883; 1600-0579; ","325-331","research-article; review; journal article","Y","Y","N","Y","N","N",5,"N","Y","N","Y","N","2020-10-16","2020-10-15"
"258",258,33980235,"MED",33980235,"PMC8114663","10.1186/s12903-021-01627-8","A preparedness model for the provision of oral health care during unfolding threats: the case of the covid-19 pandemic.","Brondani M, Donnelly L.","BMC Oral Health","1","21",2021,"1472-6831","254","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-05-14","2021-05-12"
"435",435,32654328,"MED",32654328,"PMC7404882","10.1111/eje.12561","The impact of COVID-19 on dental education in North America-Where do we go next?","Wu DT, Wu KY, Nguyen TT, Tran SD.","Eur J Dent Educ","4","24",2020,"1396-5883; 1600-0579; ","825-827","article-commentary; journal article","Y","Y","N","Y","N","N",16,"Y","Y","N","Y","N","2020-07-15","2020-07-12"
"324",324,34051956,"MED",34051956,"PMC7834925","10.1016/j.jebdp.2020.101525","Acute Loss of Smell or Taste Without Nasal Blockage Should Raise Suspicion for COVID-19 Infection.","Elangovan S.","J Evid Based Dent Pract","1","21",2021,"1532-3382; 1532-3390; ","101525","comment; discussion; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-05-31","2021-01-25"
"68",68,34174588,"MED",34174588,"PMC8215882","10.1016/j.archoralbio.2021.105201","Altered expression of SARS-CoV-2 entry and processing genes by Porphyromonas gingivalis-derived lipopolysaccharide, inflammatory cytokines and prostaglandin E<sub>2</sub> in human gingival fibroblasts.","Sena K, Furue K, Setoguchi F, Noguchi K.","Arch Oral Biol",NA,"129",2021,"0003-9969; 1879-1506; ","105201","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","Y","2021-06-27","2021-06-21"
"510",510,32405606,"MED",32405606,"PMC7219354","10.1016/j.jormas.2020.05.005","Influence of the containment on the epidemiology of maxillo-facial emergencies during the COVID-19 pandemic. Why no more cellulites of odontogenic origin?","Kün-Darbois JD, Kahn A, Corre P.","J Stomatol Oral Maxillofac Surg","4","121",2020,"2468-8509; 2468-7855; ","467-468","comment; letter; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2020-05-15","2020-05-13"
"560",560,33368603,"MED",33368603,"PMC8463922","10.1111/ger.12522","Acceptability of a community health worker intervention to improve the oral health of older Chinese Americans: A pilot study.","Northridge ME, Wu Y, Troxel AB, Min D, Liu R, Liang LJ, Metcalf SS, Seyedzadeh Sabounchi S, Yi S.","Gerodontology","1","38",2021,"0734-0664; 1741-2358; ","117-122","research-article; journal article","N","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-12-29","2020-12-27"
"288",288,33050914,"MED",33050914,"PMC7552581","10.1186/s12903-020-01273-6","Assessment of knowledge and practice of dentists towards Coronavirus Disease (COVID-19): a cross-sectional survey from Lebanon.","Nasser Z, Fares Y, Daoud R, Abou-Abbas L.","BMC Oral Health","1","20",2020,"1472-6831","281","research-article; journal article","Y","Y","N","Y","N","Y",8,"Y","Y","N","Y","N","2020-10-16","2020-10-13"
"341",341,34520609,"MED",34520609,"PMC8652620","10.1111/eje.12713","The impact of COVID-19 pandemic on student performance and self-evaluation in preclinical operative dentistry.","Inoue N, Aldosari M, Park SE, Ohyama H.","Eur J Dent Educ",NA,NA,2021,"1396-5883; 1600-0579; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-09-15","2021-09-14"
"347",347,33197102,"MED",33197102,"PMC7754557","10.1111/ipd.12741","COVID-19 pandemic impact on paediatric dentistry treatments in the Brazilian Public Health System.","Chisini LA, Costa FDS, Demarco GT, da Silveira ER, Demarco FF.","Int J Paediatr Dent","1","31",2021,"0960-7439; 1365-263x; ","31-34","brief-report; journal article","Y","Y","N","Y","N","N",4,"N","Y","N","Y","N","2020-11-17","2020-11-16"
"167",167,33448387,"MED",33448387,"PMC8014854","10.1002/jdd.12532","Comparison of in-person and remote pediatric dentistry lectures before and during the COVID-19 pandemic.","Nelson T, Nelson G, Rothen M, Kim A.","J Dent Educ",NA,"85 Suppl 3",2021,"0022-0337; 1930-7837; ","1917-1919","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-01-16","2021-01-27"
"377",377,32997092,"MED",32997092,"PMC7521424","10.1590/1678-7757-2020-0358","COVID-19: Perspectives for the management of dental care and education.","Gurgel BCV, Borges SB, Borges REA, Calderon PDS.","J Appl Oral Sci",NA,"28",2020,"1678-7757; 1678-7765; ","e20200358","review-article; review; journal article","Y","Y","N","Y","N","N",4,"N","Y","N","Y","N","2020-10-14","2020-09-28"
"628",628,32614499,"MED",32614499,"PMC7362159","10.1111/odi.13520","Challenges of oral medicine specialists at the time of COVID-19 pandemic.","Dziedzic A, Varoni EM.","Oral Dis",NA,NA,2020,"1354-523x; 1601-0825; ",NA,"brief-report; journal article","Y","Y","N","Y","N","N",1,"N","Y","N","Y","N","2020-07-03","2020-07-02"
"450",450,33420449,"MED",33420449,"PMC7791334","10.1038/s41415-020-2507-5","An impetus for change?","Owen J.","Br Dent J","1","230",2021,"0007-0610; 1476-5373; ","14-16","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-01-10","2021-01-08"
"605",605,33875278,"MED",33875278,"PMC8777006","10.1016/j.identj.2021.03.003","A Review of ""Optimal Fallow Period"" Guidance Across Canadian Jurisdictions.","Singhal S, Farmer J, Aggarwal A, Kim J, Quiñonez C.","Int Dent J","1","72",2022,"0020-6539; 1875-595x; ","116-122","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-04-21","2021-04-17"
"301",301,34172902,"MED",34172902,"PMC8226337","10.1038/s41432-021-0171-5","Do aspirating systems have a role in preventing COVID-19 transmission among dental healthcare workers?","Gugnani N, Gugnani S.","Evid Based Dent","2","22",2021,"1462-0049; 1476-5446; ","50-51","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-06-27","2021-01-01"
"158",158,34376339,"MED",34376339,"PMC7867386","10.1016/j.ajodo.2020.12.016","Appointment impact and orthodontic emergency occurrence during the coronavirus disease 2019 pandemic: A retrospective study.","Xiang J, Xin Y, Wang R, Zhou H, Zou Y, Shim S, Zhao L.","Am J Orthod Dentofacial Orthop","1","161",2022,"0889-5406; 1097-6752; ","e12-e19","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-08-12","2021-02-06"
"87",87,34463043,"MED",34463043,"PMC8661855","10.1111/omi.12351","NEAT1 and MALAT1 are highly expressed in saliva and nasopharyngeal swab samples of COVID-19 patients.","Rodrigues AC, Adamoski D, Genelhould G, Zhen F, Yamaguto GE, Araujo-Souza PS, Nogueira MB, Raboni SM, Bonatto AC, Gradia DF, Carvalho de Oliveira J.","Mol Oral Microbiol","6","36",2021,"2041-1006; 2041-1014; ","291-294","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2021-09-01","2021-09-08"
"607",607,33441249,"MED",33441249,"PMC7834288","10.1016/j.dental.2020.12.004","Fighting viruses with materials science: Prospects for antivirus surfaces, drug delivery systems and artificial intelligence.","Rosa V, Ho D, Sabino-Silva R, Siqueira WL, Silikas N.","Dent Mater","3","37",2021,"0109-5641; 1879-0097; ","496-507","research support, non-u.s. gov't; review-article; review; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-01-16","2021-01-10"
"223",223,33358522,"MED",33358522,"PMC7834335","10.1016/j.ijom.2020.12.002","Increased tracheostomy rates in head and neck cancer surgery during the COVID-19 pandemic.","Batra TK, Tilak MR, Pai E, Verma N, Gupta BK, Yadav G, Dubey RK, Francis NJ, Pandey M.","Int J Oral Maxillofac Surg","8","50",2021,"0901-5027; 1399-0020; ","989-993","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-12-29","2020-12-11"
"251",251,33229987,"MED",33229987,"PMC8162046","10.1097/scs.0000000000007253","Have There Been any Changes in the Epidemiology and Etiology of Maxillofacial Trauma During the COVID-19 Pandemic? An Italian Multicenter Study.","Salzano G, Dell'Aversana Orabona G, Audino G, Vaira LA, Trevisiol L, D'Agostino A, Pucci R, Battisti A, Cucurullo M, Ciardiello C, Barca I, Cristofaro MG, De Riu G, Biglioli F, Valentini V, Nocini PF, Califano L.","J Craniofac Surg","4","32",2021,"1049-2275; 1536-3732; ","1445-1447","research-article; multicenter study; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2020-11-25","2021-06-01"
"543",543,33786650,"MED",33786650,"PMC8009636","10.1007/s00784-021-03917-5","Influence of COVID-19 pandemic on paediatric dental attendance.","Üstün N, Akgöl BB, Bayram M.","Clin Oral Investig","11","25",2021,"1432-6981; 1436-3771; ","6185-6191","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-04-01","2021-03-30"
"425",425,33109185,"MED",33109185,"PMC7590562","10.1186/s12903-020-01281-6","Post COVID-19 lockdown: measures and practices for dental institutes.","Al Kawas S, Al-Rawi N, Talaat W, Hamdoon Z, Salman B, Al Bayatti S, Jerjes W, Samsudin ABR.","BMC Oral Health","1","20",2020,"1472-6831","291","review-article; review; journal article","Y","Y","N","Y","N","N",5,"N","Y","N","Y","N","2020-10-29","2020-10-27"
"489",489,33243197,"MED",33243197,"PMC7689639","10.1186/s12903-020-01335-9","Analysis of anxiety-related factors amongst frontline dental staff during the COVID-19 pandemic in Yichang, China.","Zhao S, Cao J, Sun R, Zhang L, Liu B.","BMC Oral Health","1","20",2020,"1472-6831","342","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",5,"N","Y","N","Y","N","2020-11-28","2020-11-26"
"297",297,32710064,"MED",32710064,"PMC7380160","10.1038/s41415-020-1792-3","Psychosocial effects of the COVID-19 pandemic on staff in a dental teaching hospital.","Mahendran K, Patel S, Sproat C.","Br Dent J","2","229",2020,"0007-0610; 1476-5373; ","127-132","research-article; journal article","Y","Y","N","Y","N","N",13,"Y","Y","N","Y","N","2020-07-26","2020-07-01"
"502",502,32591664,"MED",32591664,"PMC7317250","10.1038/s41432-020-0098-2","Are hydroxychloroquine and chloroquine effective in the treatment of SARS-COV-2 (COVID-19)?","Wright C, Ross C, Mc Goldrick N.","Evid Based Dent","2","21",2020,"1462-0049; 1476-5446; ","64-65","comment; research-article; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2020-06-28","2020-06-01"
"171",171,33097885,"MED",33097885,"PMC7582419","10.1038/s41415-020-2228-9","Non-infectious status indicated by detectable IgG antibody to SARS-CoV-2.","Denning DW, Kilcoyne A, Ucer C.","Br Dent J","8","229",2020,"0007-0610; 1476-5373; ","521-524","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2020-10-25","2020-10-23"
"519",519,32614681,"MED",32614681,"PMC7444020","10.1177/0022034520940288","Modeling of the Transmission of Coronaviruses, Measles Virus, Influenza Virus, <i>Mycobacterium tuberculosis</i>, and <i>Legionella pneumophila</i> in Dental Clinics.","Zemouri C, Awad SF, Volgenant CMC, Crielaard W, Laheij AMGA, de Soet JJ.","J Dent Res","10","99",2020,"0022-0345; 1544-0591; ","1192-1198","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",21,"Y","Y","N","Y","N","2020-07-03","2020-07-02"
"449",449,32576467,"MED",32576467,"PMC7298505","10.1016/j.bjoms.2020.06.011","Head and neck oncological ablation and reconstruction in the COVID-19 era - our experience to date.","Butler D, Davies-Husband C, Dhanda J, Francis I, Gulati A, Kapoor K, Newman L, Norris P, Sadiq Z, Surwald C, Upile N, Vorster T, Bisase B.","Br J Oral Maxillofac Surg","8","58",2020,"0266-4356; 1532-1940; ","1008-1013","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2020-06-24","2020-06-17"
"393",393,33218695,"MED",33218695,"PMC7446613","10.1016/j.bjoms.2020.08.100","Oral and maxillofacial dental care professionals in critical care during the COVID-19 pandemic.","Forrester S, Fisher G, Chieng CY, Rogers SN.","Br J Oral Maxillofac Surg","1","59",2021,"0266-4356; 1532-1940; ","117-120","brief-report; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-11-22","2020-08-25"
"363",363,32414678,"MED",32414678,"PMC7196383","10.1016/j.ijom.2020.04.015","Impact of COVID-19 on maxillofacial surgery practice: a worldwide survey.","Maffia F, Fontanari M, Vellone V, Cascone P, Mercuri LG.","Int J Oral Maxillofac Surg","6","49",2020,"0901-5027; 1399-0020; ","827-835","research-article; journal article","Y","Y","N","Y","N","N",22,"Y","Y","N","Y","N","2020-05-17","2020-05-03"
"600",600,32636093,"MED",32636093,"PMC7334942","10.1016/j.bjoms.2020.06.022","Modification of the microscope drape to provide a closed surgical field in transoral robotic surgery.","Ghazali N, Attardo G, Markose G.","Br J Oral Maxillofac Surg","7","58",2020,"0266-4356; 1532-1940; ","867-868","brief-report; journal article","Y","Y","N","Y","N","N",1,"N","Y","N","Y","N","2020-07-15","2020-07-04"
"387",387,33632475,"MED",33632475,"PMC7881762","10.1016/j.identj.2021.01.017","Reopening Dental Offices for Routine Care Amid the COVID-19 Pandemic: Report From Palestine.","Kateeb ET, Juniedi RN, Warren JJ.","Int Dent J","1","72",2022,"0020-6539; 1875-595x; ","83-92","research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2021-02-27","2021-02-13"
"420",420,32651513,"MED",32651513,"PMC7348561","10.1038/s41415-020-1782-5","COVID-19 and medical emergencies in the dental practice.","Jevon P, Shamsi S.","Br Dent J","1","229",2020,"0007-0610; 1476-5373; ","19-24","research-article; review; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2020-07-16","2020-07-01"
"371",371,33743992,"MED",33743992,"PMC7970159","10.1016/j.identj.2021.01.013","Fear of COVID-19 in Madrid. Will patients avoid dental care?","González-Olmo MJ, Delgado-Ramos B, Ortega-Martínez AR, Romero-Maroto M, Carrillo-Díaz M.","Int Dent J","1","72",2022,"0020-6539; 1875-595x; ","76-82","research-article; journal article","Y","Y","N","Y","N","Y",3,"Y","Y","N","Y","N","2021-03-22","2021-02-02"
"430",430,32591653,"MED",32591653,"PMC7317244","10.1038/s41432-020-0089-3","The COVID-19 pandemic: implications for dental education.","Deery C.","Evid Based Dent","2","21",2020,"1462-0049; 1476-5446; ","46-47","research-article; review; journal article","Y","Y","N","Y","N","N",15,"Y","Y","N","Y","N","2020-06-28","2020-06-01"
"254",254,34046898,"MED",34046898,"PMC8242849","10.1002/jdd.12653","Dental education during the pandemic: Cross-sectional evaluation of four different teaching concepts.","Goob J, Erdelt K, Güth JF, Liebermann A.","J Dent Educ","10","85",2021,"0022-0337; 1930-7837; ","1574-1587","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-05-29","2021-05-27"
"47",47,32946152,"MED",32946152,"PMC7646272","10.1111/odi.13646","Surface disinfection and protective masks for SARS-CoV-2 and other respiratory viruses: A review by SIdP COVID-19 task force.","Barbato L, Bernardelli F, Braga G, Clementini M, Di Gioia C, Littarru C, Oreglia F, Raspini M, Brambilla E, Iavicoli I, Pinchi V, Landi L, Sforza NM, Cavalcanti R, Crea A, Cairo F.","Oral Dis",NA,NA,2020,"1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","Y",2,"N","Y","N","Y","N","2020-09-23","2020-09-18"
"439",439,32513429,"MED",32513429,"PMC7245279","10.1016/j.bjoms.2020.05.021","Aerosol-generating procedures in head and neck surgery - can we improve practice after COVID-19?","Kerawala C, Riva F.","Br J Oral Maxillofac Surg","6","58",2020,"0266-4356; 1532-1940; ","704-707","research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2020-06-10","2020-05-23"
"12",12,33991381,"MED",33991381,"PMC8242875","10.1111/odi.13916","Coronavirus disease 2019 (COVID-19) vaccines: A concise review.","Samaranayake LP, Seneviratne CJ, Fakhruddin KS.","Oral Dis",NA,NA,2021,"1354-523x; 1601-0825; ",NA,"review-article; review; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2021-05-16","2021-05-15"
"121",121,33032593,"MED",33032593,"PMC7543039","10.1186/s12903-020-01270-9","COVID-19 transmission risk and protective protocols in dentistry: a systematic review.","Banakar M, Bagheri Lankarani K, Jafarpour D, Moayedi S, Banakar MH, MohammadSadeghi A.","BMC Oral Health","1","20",2020,"1472-6831","275","research-article; systematic review; journal article","Y","Y","N","Y","N","N",29,"N","Y","N","Y","N","2020-10-16","2020-10-08"
"16",16,34342110,"MED",34342110,"PMC8447065","10.1111/odi.13988","Morphological alterations in tongue epithelial cells infected by SARS-CoV-2: A case-control study.","Marques BBF, Guimarães TC, Fischer RG, Tinoco JMM, Pires FR, Lima Junior JDC, Stevens RH, Tinoco EMB.","Oral Dis",NA,NA,2021,"1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-08-04","2021-08-03"
"406",406,32557183,"MED",32557183,"PMC7298449","10.1007/s40368-020-00547-5","Assessment of paediatric dental guidelines and caries management alternatives in the post COVID-19 period. A critical review and clinical recommendations.","Al-Halabi M, Salami A, Alnuaimi E, Kowash M, Hussein I.","Eur Arch Paediatr Dent","5","21",2020,"1818-6300; 1996-9805; ","543-556","review-article; review; journal article","Y","Y","N","Y","N","N",19,"Y","Y","N","Y","N","2020-06-20","2020-06-16"
"133",133,33538007,"MED",33538007,"PMC8014638","10.1002/jdd.12562","Impact of the COVID-19 pandemic on dental clinical training and future prospects.","Nishioka T, Mayanagi G, Iwamatsu-Kobayashi Y, Hong G.","J Dent Educ",NA,"85 Suppl 3",2021,"0022-0337; 1930-7837; ","1999-2001","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-02-05","2021-02-03"
"556",556,32710053,"MED",32710053,"PMC7380139","10.1038/s41415-020-1854-6","The dental team as part of the medical workforce during national and global crises.","Sacoor S, Chana S, Fortune F.","Br Dent J","2","229",2020,"0007-0610; 1476-5373; ","89-92","research-article; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2020-07-26","2020-07-01"
"156",156,32303420,"MED",32303420,"PMC7128256","10.1016/j.jcms.2020.03.011","Approaches to the management of patients in oral and maxillofacial surgery during COVID-19 pandemic.","Zimmermann M, Nkenke E.","J Craniomaxillofac Surg","5","48",2020,"1010-5182; 1878-4119; ","521-526","review-article; review; journal article","Y","Y","N","Y","N","N",54,"Y","Y","N","Y","N","2020-04-19","2020-04-04"
"281",281,34172911,"MED",34172911,"PMC8226352","10.1038/s41432-021-0181-3","COVID-19, social media use and anxiety: more complex than it might appear?","Newton T.","Evid Based Dent","2","22",2021,"1462-0049; 1476-5446; ","69","comment; research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-06-27","2021-01-01"
"554",554,33127166,"MED",33127166,"PMC7556257","10.1016/j.bjoms.2020.09.037","Virtual ARCP assessment and trainee feedback meetings: facilitating the best experience and practice.","Oeppen RS, Rutherford E, Sadler P, Isaac R, Brennan PA.","Br J Oral Maxillofac Surg","10","58",2020,"0266-4356; 1532-1940; ","1240-1244","review-article; review; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2020-10-31","2020-10-14"
"185",185,33188555,"MED",33188555,"PMC7753269","10.1111/eje.12626","Perception of health and educational risks amongst dental students and educators in the era of COVID-19.","Jum'ah AA, Elsalem L, Loch C, Schwass D, Brunton PA.","Eur J Dent Educ","3","25",2021,"1396-5883; 1600-0579; ","506-515","research-article; journal article","Y","Y","N","Y","N","N",6,"N","Y","N","Y","N","2020-11-15","2020-11-29"
"298",298,33409692,"MED",33409692,"PMC7787613","10.1007/s00784-020-03715-5","The influence of the SARS-CoV-2 pandemic on oral and maxillofacial surgery: a nationwide survey among 54 hospitals and 240 private practices in Germany.","Pabst A, Zeller AN, Sader R, Wiegner JU, Schneider M, Ehrenfeld M, Hoffmann J.","Clin Oral Investig","6","25",2021,"1432-6981; 1436-3771; ","3853-3860","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-01-08","2021-01-06"
"421",421,33414544,"MED",33414544,"PMC7789077","10.1038/s41415-020-2504-8","SARS-CoV-2: characterisation and mitigation of risks associated with aerosol generating procedures in dental practices.","Ehtezazi T, Evans DG, Jenkinson ID, Evans PA, Vadgama VJ, Vadgama J, Jarad F, Grey N, Chilcott RP.","Br Dent J",NA,NA,2021,"0007-0610; 1476-5373; ",NA,"research-article; journal article","Y","Y","N","Y","N","Y",11,"Y","Y","N","Y","N","2021-01-09","2021-01-07"
"490",490,34542905,"MED",34542905,"PMC8656407","10.1002/jdd.12790","An observational study of learning effects of peer-assisted learning tests in COVID-19 pandemic times.","Holfert J, Kesting MR, Buchbender M.","J Dent Educ",NA,NA,2021,"0022-0337; 1930-7837; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-09-21","2021-09-20"
"396",396,32978529,"MED",32978529,"PMC7517051","10.1038/s41432-020-0116-4","Which crucial measures do patients need to follow to prevent transmission of COVID-19 in the dental setting?","Spivakovsky S.","Evid Based Dent","3","21",2020,"1462-0049; 1476-5446; ","79","research-article; review; journal article","Y","Y","N","Y","N","N",1,"N","Y","N","Y","N","2020-09-27","2020-09-01"
