"","id","source","pmid","pmcid","doi","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate"
"11","32396601","MED","32396601","PMC8028467","10.2319/033120-236.1","Clinical orthodontic management during the COVID-19 pandemic.","Suri S, Vandersluis YR, Kochhar AS, Bhasin R, Abdallah MN.","Angle Orthod","4","90","2020","0003-3219; 1945-7103; ","473-484","research-article; journal article","N","Y","N","Y","N","N",25,"Y","Y","N","Y","N","2020-05-14","2020-07-01"
"12","33991381","MED","33991381","PMC8242875","10.1111/odi.13916","Coronavirus disease 2019 (COVID-19) vaccines: A concise review.","Samaranayake LP, Seneviratne CJ, Fakhruddin KS.","Oral Dis",NA,NA,"2021","1354-523x; 1601-0825; ",NA,"review-article; review; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2021-05-16","2021-05-15"
"13","34481505","MED","34481505","PMC8417659","10.1186/s13005-021-00289-9","SARS-CoV-2 and regular patient treatment - from the use of rapid antigen testing up to treatment specific precaution measures.","Durner J, Beikler T, Watts DC, Becker M, Draenert ME.","Head Face Med","1","17","2021","1746-160x","39","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-09-07","2021-09-04"
"14","34455018","MED","34455018","PMC8388145","10.1016/j.jdent.2021.103791","Risk of SARS-CoV-2 transmission following exposure during dental treatment - A national cohort study.","Natapov L, Schwartz D, Herman HD, Markovich DD, Yellon D, Jarallah M, Liphshiz I, Carmeli Y, Karakis I.","J Dent",NA,"113","2021","0300-5712; 1879-176x; ","103791","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-08-30","2021-08-26"
"15","34387730","MED","34387730","PMC8360804","10.1007/s00784-021-04129-7","Self-collected unstimulated saliva, oral swab, and nasopharyngeal swab specimens in the detection of SARS-CoV-2.","de Paula Eduardo F, Bezinelli LM, de Araujo CAR, Moraes JVV, Birbrair A, Pinho JRR, Hamerschlak N, Al-Hashimi I, Heller D.","Clin Oral Investig",NA,NA,"2021","1432-6981; 1436-3771; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-08-14","2021-08-13"
"16","34342110","MED","34342110","PMC8447065","10.1111/odi.13988","Morphological alterations in tongue epithelial cells infected by SARS-CoV-2: A case-control study.","Marques BBF, Guimarães TC, Fischer RG, Tinoco JMM, Pires FR, Lima Junior JDC, Stevens RH, Tinoco EMB.","Oral Dis",NA,NA,"2021","1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-08-04","2021-08-03"
"17","34628705","MED","34628705","PMC8653299","10.1111/idh.12555","Could mouth rinses be an adjuvant in the treatment of SARS-CoV-2 patients? An appraisal with a systematic review.","Gandhi G, Thimmappa L, Upadhya N, Carnelio S.","Int J Dent Hyg","1","20","2022","1601-5029; 1601-5037; ","136-144","review-article; review; journal article","Y","Y","N","Y","N","Y",1,"Y","Y","N","Y","N","2021-10-12","2021-10-29"
"18","34749700","MED","34749700","PMC8573761","10.1186/s12903-021-01921-5","Estimating the viral loads of SARS-CoV-2 in the oral cavity when complicated with periapical lesions.","Altaie AM, Hamdy R, Venkatachalam T, Hamoudi R, Soliman SSM.","BMC Oral Health","1","21","2021","1472-6831","567","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-11-27","2021-11-08"
"19","34922731","MED","34922731","PMC8402995","10.1016/j.jebdp.2021.101633","QUALITY APPRAISAL OF CLINICAL PRACTICE GUIDELINES ON PROVISION OF DENTAL SERVICES DURING THE FIRST MONTHS OF THE COVID-19 PANDEMIC.","Deana NF, Zaror C, Seiffert A, Aravena-Rivas Y, Muñoz-Millán P, Espinoza-Espinoza G, Pineda P, Alonso-Coello P.","J Evid Based Dent Pract","4","21","2021","1532-3382; 1532-3390; ","101633","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-12-25","2021-08-28"
"20","33710460","MED","33710460","PMC7952257","10.1007/s00784-021-03872-1","Impact of the COVID-19 pandemic on urgent dental care delivery in a Swiss university center for dental medicine.","Eggmann F, Haschemi AA, Doukoudis D, Filippi A, Verna C, Walter C, Weiger R, Zitzmann NU, Bornstein MM.","Clin Oral Investig","10","25","2021","1432-6981; 1436-3771; ","5711-5721","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-03-13","2021-03-12"
"21","34626613","MED","34626613","PMC8493639","10.1016/j.joen.2021.09.015","Endodontics Specialists' Practice during the Initial Outbreak of Coronavirus Disease 2019.","Nosrat A, Dianat O, Verma P, Yu P, Wu D, Fouad AF.","J Endod","1","48","2022","0099-2399; 1878-3554; ","102-108","research-article; journal article; observational study","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-10-10","2021-10-06"
"22","33478305","MED","33478305","PMC7871048","10.1177/2380084421989693","Preprocedural Pool Testing Strategy for Dentistry during the COVID-19 Pandemic.","Umer F, Arif A.","JDR Clin Trans Res","2","6","2021","2380-0844; 2380-0852; ","139-144","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-01-23","2021-01-21"
"23","32511851","MED","32511851","PMC7300649","10.1111/jopr.13209","Rapid In-Vitro Inactivation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Using Povidone-Iodine Oral Antiseptic Rinse.","Bidra AS, Pelletier JS, Westover JB, Frank S, Brown SM, Tessema B.","J Prosthodont","6","29","2020","1059-941x; 1532-849x; ","529-533","research-article; journal article","Y","Y","N","Y","N","N",42,"Y","Y","N","Y","N","2020-06-10","2020-06-16"
"24","34688590","MED","34688590","PMC8502457","10.1016/j.oooo.2021.09.011","Effect of COVID-19 on training and mental health of oral medicine residents in North America.","Sandhu S, Sankar V, Sroussi HY, Villa A.","Oral Surg Oral Med Oral Pathol Oral Radiol","1","133","2022","2212-4403; 2212-4411; ","34-41","research-article; journal article","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-11-24","2021-09-27"
"25","33616049","MED","33616049","PMC7361251","10.1111/idj.12601","COVID-19 Dentistry-Related Aspects: A Literature Overview.","Checchi V, Bellini P, Bencivenni D, Consolo U.","Int Dent J","1","71","2021","0020-6539; 1875-595x; ","21-26","review-article; review; journal article","Y","Y","N","Y","N","N",25,"Y","Y","N","N","N","2021-02-23","2021-01-12"
"26","33935140","MED","33935140","PMC8549127","10.1097/scs.0000000000007699","Evaluation of Nasal Mucociliary Clearance Time in COVID-19 Patients.","Çeçen A, Bayraktar C, Özgür A, Akgül G, Günal Ö.","J Craniofac Surg","8","32","2021","1049-2275; 1536-3732; ","e702-e705","research-article; journal article","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-05-04","2021-11-01"
"27","34634156","MED","34634156","PMC8661960","10.1111/odi.14047","Oral lesions and SARS-CoV-2: A postmortem study.","Zarpellon A, Matuck BF, Dolhnikoff M, Duarte-Neto AN, Maia G, Gomes SC, Sendyk DI, Souza SCOM, Mauad T, Saldiva PHN, Braz-Silva PH, da Silva LFF.","Oral Dis",NA,NA,"2021","1354-523x; 1601-0825; ",NA,"brief-report; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-10-12","2021-10-11"
"28","33071007","MED","33071007","PMC7560385","10.1016/j.adaj.2020.09.005","Estimating COVID-19 prevalence and infection control practices among US dentists.","Estrich CG, Mikkelsen M, Morrissey R, Geisinger ML, Ioannidou E, Vujicic M, Araujo MWB.","J Am Dent Assoc","11","151","2020","0002-8177; 1943-4723; ","815-824","research-article; journal article","Y","Y","N","Y","N","Y",53,"Y","Y","N","Y","Y","2020-10-20","2020-11-01"
"29","33678401","MED","33678401","PMC7831395","10.1016/j.identj.2020.12.001","Psychological Impact of the COVID-19 Pandemic on Emergency Dental Care Providers on the Front Lines in China.","Tao J, Lin Y, Jiang L, Zhou Z, Zhao J, Qu D, Li W, Zhu Y.","Int Dent J","3","71","2021","0020-6539; 1875-595x; ","197-205","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-03-09","2020-12-09"
"30","34196128","MED","34196128","PMC8427031","10.1002/cre2.466","Evaluation of the effects of the COVID-19 pandemic on dentistry.","Çelik OE, Cansever IH.","Clin Exp Dent Res","6","7","2021","2057-4347","943-950","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-07-02","2021-06-30"
"31","34465484","MED","34465484","PMC8286863","10.1016/j.identj.2021.07.002","Dentists' Perceptions of Their SARS-CoV-2 Risk and Infection Control Needs.","Sánchez-Pérez L, de Antuñano DS, Perea-Pérez B, Labajo-González E, Acosta-Gio AE.","Int Dent J",NA,NA,"2021","0020-6539; 1875-595x; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-09-02","2021-07-19"
"32","33977764","MED","33977764","PMC8258727","10.1177/00220345211015948","Sources of SARS-CoV-2 and Other Microorganisms in Dental Aerosols.","Meethil AP, Saraswat S, Chaudhary PP, Dabdoub SM, Kumar PS.","J Dent Res","8","100","2021","0022-0345; 1544-0591; ","817-823","research-article; journal article","Y","Y","N","Y","N","Y",12,"Y","Y","N","Y","N","2021-05-13","2021-05-12"
"33","33812370","MED","33812370","PMC8019344","10.1186/s12903-021-01499-y","Changes in the characteristics of dental emergencies under the influence of SARS-CoV-2 pandemic: a retrospective study.","Wu K, Li C, Yang Z, Yang S, Yang W, Hua C.","BMC Oral Health","1","21","2021","1472-6831","174","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-04-06","2021-04-03"
"34","33743993","MED","33743993","PMC7834430","10.1016/j.identj.2020.12.010","Dentistry and the COVID-19 Outbreak.","Amante LFLS, Afonso JTM, Skrupskelyte G.","Int Dent J","5","71","2021","0020-6539; 1875-595x; ","358-368","review-article; review; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-03-22","2020-12-19"
"35","34706826","MED","34706826","PMC8452527","10.1016/j.identj.2021.09.003","Impact of the Coronavirus on Providing Oral Health Care in the Netherlands.","Persoon IF, Volgenant CMC, van der Veen MH, Opdam NJM, Manton DJ, Bruers JJM.","Int Dent J",NA,NA,"2021","0020-6539; 1875-595x; ",NA,"research-article; journal article","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-11-26","2021-09-21"
"36","33197526","MED","33197526","PMC7664347","10.1016/j.jdent.2020.103534","Decontamination of N95 respirators against SARS-CoV-2: A scoping review.","Sarkis-Onofre R, Borges RDC, Demarco G, Dotto L, Schwendicke F, Demarco FF.","J Dent",NA,"104","2021","0300-5712; 1879-176x; ","103534","research support, non-u.s. gov't; review-article; review; journal article","Y","Y","N","Y","N","Y",9,"Y","Y","N","Y","N","2020-11-17","2020-11-13"
"37","33138663","MED","33138663","PMC7642823","10.1177/0022034520970536","SARS-CoV-2 Detection in Gingival Crevicular Fluid.","Gupta S, Mohindra R, Chauhan PK, Singla V, Goyal K, Sahni V, Gaur R, Verma DK, Ghosh A, Soni RK, Suri V, Bhalla A, Singh MP.","J Dent Res","2","100","2021","0022-0345; 1544-0591; ","187-193","research-article; journal article","Y","Y","N","Y","N","Y",21,"Y","Y","N","Y","N","2020-11-04","2020-11-02"
"38","33926623","MED","33926623","PMC7862882","10.1016/j.adaj.2021.01.014","COVID-2019 fundamentals.","Lamberghini F, Testai FD.","J Am Dent Assoc","5","152","2021","0002-8177; 1943-4723; ","354-363","research-article; review; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-05-01","2021-02-05"
"39","33547843","MED","33547843","PMC8013393","10.1111/eje.12676","Brazilian dental students and COVID-19: A survey on knowledge and perceptions.","Aragão MGB, Gomes FIF, Pinho Maia Paixão-de-Melo L, Corona SAM.","Eur J Dent Educ","1","26","2022","1396-5883; 1600-0579; ","93-105","research-article; journal article","Y","Y","N","Y","N","Y",2,"Y","Y","N","Y","N","2021-02-07","2021-02-14"
"40","32706510","MED","32706510","PMC7405138","10.1111/scd.12498","Effects of oral care on prolonged viral shedding in coronavirus disease 2019 (COVID-19).","Warabi Y, Tobisawa S, Kawazoe T, Murayama A, Norioka R, Morishima R, Inoue T, Shimizu T, Takahashi K.","Spec Care Dentist","5","40","2020","0275-1879; 1754-4505; ","470-474","research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2020-07-25","2020-07-24"
"41","33131360","MED","33131360","PMC7604673","10.1177/0022034520969670","Diagnostic Salivary Tests for SARS-CoV-2.","Azzi L, Maurino V, Baj A, Dani M, d'Aiuto A, Fasano M, Lualdi M, Sessa F, Alberio T.","J Dent Res","2","100","2021","0022-0345; 1544-0591; ","115-123","review-article; journal article","Y","Y","N","Y","N","Y",12,"Y","Y","N","Y","N","2020-11-03","2020-10-31"
"42","33551188","MED","33551188","PMC7846220","10.1016/j.dental.2021.01.015","Fast and cost-effective screening for SARS-CoV-2 variants in a routine diagnostic setting.","Durner J, Burggraf S, Czibere L, Tehrani A, Watts DC, Becker M.","Dent Mater","3","37","2021","0109-5641; 1879-0097; ","e95-e97","research-article; journal article","Y","Y","N","Y","N","N",7,"Y","Y","N","Y","N","2021-02-09","2021-01-29"
"43","34607593","MED","34607593","PMC8489369","10.1186/s12903-021-01860-1","COVID-19 outbreak and dental health care provision in Nigeria: a national survey.","Aladelusi TO, Atiba FA, Gbadebo SO, Adeyemo YI, Olusanya AA, Akadiri OA.","BMC Oral Health","1","21","2021","1472-6831","493","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-10-06","2021-10-04"
"44","34618280","MED","34618280","PMC8495432","10.1007/s10006-021-01007-0","The effect of lockdown during SARS-CoV-2 pandemic on maxillofacial injuries in a level I trauma centre: a comparative study.","Dawoud BES, Alderson L, Khan U, Safaei H, Murphy C, Milne S, Mannion C, Krishnan O, Parmar J.","Oral Maxillofac Surg",NA,NA,"2021","1865-1550; 1865-1569; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-10-08","2021-10-07"
"45","33822288","MED","33822288","PMC8022306","10.1007/s00784-021-03916-6","A bibliometric analysis of the dental scientific literature on COVID-19.","Jacimovic J, Jakovljevic A, Nagendrababu V, Duncan HF, Dummer PMH.","Clin Oral Investig","11","25","2021","1432-6981; 1436-3771; ","6171-6183","research-article; journal article","Y","Y","N","Y","N","Y",2,"Y","Y","N","Y","N","2021-04-07","2021-04-06"
"46","34798843","MED","34798843","PMC8602991","10.1186/s12903-021-01946-w","The impact of COVID-19 on knowledge, attitude, and infection control behaviors among dentists.","Cheng HC, Chang YJ, Liao SR, Siewchaisakul P, Chen SL.","BMC Oral Health","1","21","2021","1472-6831","584","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",0,"Y","Y","N","Y","N","2021-11-30","2021-11-19"
"47","32946152","MED","32946152","PMC7646272","10.1111/odi.13646","Surface disinfection and protective masks for SARS-CoV-2 and other respiratory viruses: A review by SIdP COVID-19 task force.","Barbato L, Bernardelli F, Braga G, Clementini M, Di Gioia C, Littarru C, Oreglia F, Raspini M, Brambilla E, Iavicoli I, Pinchi V, Landi L, Sforza NM, Cavalcanti R, Crea A, Cairo F.","Oral Dis",NA,NA,"2020","1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","Y",2,"N","Y","N","Y","N","2020-09-23","2020-09-18"
"48","34479668","MED","34479668","PMC8080510","10.1016/j.jebdp.2021.101584","In vivo evaluation of the virucidal efficacy of chlorhexidine and povidone-iodine mouthwashes against salivary SARS-CoV-2. A randomized-controlled clinical trial.","Elzein R, Abdel-Sater F, Fakhreddine S, Hanna PA, Feghali R, Hamad H, Ayoub F.","J Evid Based Dent Pract","3","21","2021","1532-3382; 1532-3390; ","101584","research-article; randomized controlled trial; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2021-09-05","2021-04-28"
"49","32744907","MED","32744907","PMC7399563","10.1177/0022034520946251","Viral Load Dynamics in Sputum and Nasopharyngeal Swab in Patients with COVID-19.","Liu R, Yi S, Zhang J, Lv Z, Zhu C, Zhang Y.","J Dent Res","11","99","2020","0022-0345; 1544-0591; ","1239-1244","research support, non-u.s. gov't; research-article; journal article; observational study","Y","Y","N","Y","N","Y",10,"Y","Y","N","Y","N","2020-08-09","2020-08-03"
"50","34280498","MED","34280498","PMC8285212","10.1016/j.jdent.2021.103749","The COVID-19 pandemic and its global effects on dental practice. An International survey.","COVIDental Collaboration Group.","J Dent",NA,"114","2021","0300-5712; 1879-176x; ","103749","research-article; journal article","Y","Y","N","Y","N","Y",4,"Y","Y","N","Y","N","2021-07-20","2021-07-17"
"51","33931952","MED","33931952","PMC8239795","10.1002/cre2.429","Oral manifestations of COVID-19 patients: An online survey of the Egyptian population.","El Kady DM, Gomaa EA, Abdella WS, Ashraf Hussien R, Abd ElAziz RH, Khater AGA.","Clin Exp Dent Res","5","7","2021","2057-4347","852-860","research-article; journal article","Y","Y","N","Y","N","Y",2,"Y","Y","N","Y","Y","2021-05-02","2021-05-01"
"52","33595844","MED","33595844","PMC8014337","10.1111/clr.13723","Delphi Project on the trends in Implant Dentistry in the COVID-19 era: Perspectives from Latin America.","Alarcón MA, Sanz-Sánchez I, Shibli JA, Treviño Santos A, Caram S, Lanis A, Jiménez P, Dueñas R, Torres R, Alvarado J, Avendaño A, Galindo R, Umanzor V, Shedden M, Invernizzi C, Yibrin C, Collins J, León R, Contreras L, Bueno L, López-Pacheco A, Málaga-Figueroa L, Sanz M.","Clin Oral Implants Res","4","32","2021","0905-7161; 1600-0501; ","521-537","research-article; journal article","Y","Y","N","Y","N","Y",4,"Y","Y","N","Y","N","2021-02-18","2021-03-15"
"53","33474762","MED","33474762","PMC8013174","10.1111/jcpe.13427","Impact of the coronavirus disease 2019 pandemic on periodontal practice: A questionnaire survey.","Rocha-Gomes G, Flecha OD, Miranda TS, Duarte PM, Shaddox LM, Galvão EL, Gonçalves PF.","J Clin Periodontol","4","48","2021","0303-6979; 1600-051x; ","541-549","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-01-22","2021-02-03"
"54","34030867","MED","34030867","PMC7997309","10.1016/j.adaj.2021.03.006","COVID-19 vaccine acceptance and hesitancy among dental and medical students.","Kelekar AK, Lucia VC, Afonso NM, Mascarenhas AK.","J Am Dent Assoc","8","152","2021","0002-8177; 1943-4723; ","596-603","research-article; journal article","Y","Y","N","Y","N","N",14,"Y","Y","N","Y","N","2021-05-28","2021-03-26"
"55","33211392","MED","33211392","PMC7753835","10.1111/odi.13729","Salivary diagnostics of the novel coronavirus SARS-CoV-2 (COVID-19).","Michailidou E, Poulopoulos A, Tzimagiorgis G.","Oral Dis",NA,NA,"2020","1354-523x; 1601-0825; ",NA,"review-article; review; journal article","Y","Y","N","Y","N","N",4,"N","Y","N","Y","Y","2020-11-20","2020-11-19"
"56","33349250","MED","33349250","PMC7751262","10.1186/s12903-020-01361-7","Knowledge of dentists, dental auxiliaries, and students regarding the COVID-19 pandemic in Saudi Arabia: a cross-sectional survey.","Shahin SY, Bugshan AS, Almulhim KS, AlSharief MS, Al-Dulaijan YA, Siddiqui I, Al-Qarni FD.","BMC Oral Health","1","20","2020","1472-6831","363","research-article; journal article","Y","Y","N","Y","N","Y",10,"N","Y","N","Y","N","2020-12-25","2020-12-21"
"57","33527524","MED","33527524","PMC8013400","10.1111/jop.13165","Reported orofacial adverse effects of COVID-19 vaccines: The knowns and the unknowns.","Cirillo N.","J Oral Pathol Med","4","50","2021","0904-2512; 1600-0714; ","424-427","journal article; case-report","Y","Y","N","Y","N","Y",26,"Y","Y","N","Y","N","2021-02-03","2021-02-19"
"58","33867304","MED","33867304","PMC8005255","10.1016/j.oooo.2021.03.010","Painful palatal lesion in a patient with COVID-19.","Pauli MA, Pereira LM, Monteiro ML, de Camargo AR, Rabelo GD.","Oral Surg Oral Med Oral Pathol Oral Radiol","6","131","2021","2212-4403; 2212-4411; ","620-625","comment; brief-report; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2021-04-20","2021-03-28"
"59","34532961","MED","34532961","PMC8652854","10.1111/idh.12553","Educational concerns and awareness level among dental hygiene students during the COVID-19 pandemic.","Mutluay AT, Mutluay M.","Int J Dent Hyg",NA,NA,"2021","1601-5029; 1601-5037; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-09-18","2021-09-17"
"60","33913152","MED","33913152","PMC8242421","10.1002/jdd.12632","Dental students' attitudes and hesitancy toward COVID-19 vaccine.","Mascarenhas AK, Lucia VC, Kelekar A, Afonso NM.","J Dent Educ","9","85","2021","0022-0337; 1930-7837; ","1504-1510","research-article; journal article","Y","Y","N","Y","N","N",8,"Y","Y","N","Y","N","2021-04-30","2021-04-29"
"61","32985329","MED","32985329","PMC7527907","10.1177/0022034520962087","Epidemiological Investigation of OHCWs with COVID-19.","Meng L, Ma B, Cheng Y, Bian Z.","J Dent Res","13","99","2020","0022-0345; 1544-0591; ","1444-1452","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",11,"Y","Y","N","Y","N","2020-09-29","2020-09-27"
"62","34756303","MED","34756303","PMC8554223","10.1016/j.joms.2021.06.034","Frequency of Firearm Injuries to Head and Neck Increased During Covid-19 Pandemic.","Amin D, Manhan AJ, Smith RN, Roser SM, Abramowicz S.","J Oral Maxillofac Surg","11","79","2021","0278-2391; 1531-5053; ","2299-2305","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-11-27","2021-11-01"
"63","33349495","MED","33349495","PMC7485545","10.1016/j.bjoms.2020.09.014","Impacts of lockdown during the SARS-CoV-2 pandemic on patients presenting with cervicofacial infection of odontogenic origin: a comparative study.","Dawoud BES, Kent P, Ho MWS.","Br J Oral Maxillofac Surg","3","59","2021","0266-4356; 1532-1940; ","e109-e113","research-article; journal article","Y","Y","N","Y","N","N",3,"N","Y","N","Y","N","2020-12-25","2020-09-11"
"64","34037853","MED","34037853","PMC8152705","10.1007/s00784-021-04001-8","Dental calculus-a reservoir for detection of past SARS-CoV-2 infection.","Berton F, Rupel K, Florian F, Biasotto M, Pallavicini A, Di Lenarda R.","Clin Oral Investig","8","25","2021","1432-6981; 1436-3771; ","5113-5114","brief-report; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-05-28","2021-05-26"
